model_name,accuracy,precision,recall,f1_score,auc_roc,log_loss,specificity,false_positive_rate,false_negative_rate,confusion_matrix,training_time_seconds,prediction_time_seconds,predictions_per_second,rank_accuracy,rank_auc_roc,rank_f1_score,rank_global
Gradient Boosting,0.985,0.9605633802816902,0.9551820728291317,0.9578651685393258,0.9992123447065984,0.04010801746418504,0.9914790018259282,0.00852099817407182,0.04481792717086835,"{'true_negatives': 1629, 'false_positives': 14, 'false_negatives': 16, 'true_positives': 341}",17.889793634414673,0.02068352699279785,96695.30736689222,1.0,1.0,1.0,1.0
Random Forest,0.984,0.926509186351706,0.988795518207283,0.9566395663956639,0.9991731324300871,0.06017968143361588,0.9829580036518564,0.01704199634814364,0.011204481792717087,"{'true_negatives': 1615, 'false_positives': 28, 'false_negatives': 4, 'true_positives': 353}",0.5879907608032227,0.14441442489624023,13849.032057822287,2.0,2.0,2.0,2.0
Deep Learning,0.7575,0.2961783439490446,0.2605042016806723,0.27719821162444114,0.5917848575827166,2.8977884678288675,0.8654899573950091,0.13451004260499086,0.7394957983193278,"{'true_negatives': 1422, 'false_positives': 221, 'false_negatives': 264, 'true_positives': 93}",35.58574151992798,0.3798952102661133,5264.609676439504,3.0,3.0,3.0,3.0
